name,height,width,img_h,img_w,area_frac,n_polyps_mask,n_bbox,compactness,sessile,size_bin,size_tertile
cju0qkwl35piu0993l0dewei2,529,622,529,622,0.28277281043526886,1,1,0.797458082077277,False,large,large
cju0qoxqj9q6s0835b43399p4,1070,1348,1070,1348,0.27059471976482985,1,1,0.8099676405466031,True,large,large
cju0qx73cjw570799j4n5cjze,529,619,529,619,0.3188263282139923,1,1,0.49742595404880197,False,large,large
cju0roawvklrq0799vmjorwfv,528,622,528,622,0.10849654097242521,2,3,0.395577307571963,False,large,medium
cju0rx1idathl0835detmsp84,528,617,528,617,0.07276779136584648,1,1,0.5668935198218421,False,medium,small
cju0s2a9ekvms080138tjjpxr,547,626,547,626,0.20712162185840863,1,1,0.7902136236732396,False,large,large
cju0s690hkp960855tjuaqvv0,530,621,530,621,0.0366238264515541,1,1,0.7712888728489679,False,medium,small
cju0sr5ghl0nd08789uzf1raf,1019,1214,1019,1214,0.13352965807806536,2,2,0.3599767776686983,False,large,medium
cju0sxqiclckk08551ycbwhno,531,570,531,570,0.043506128787127896,1,1,0.8034193622503807,True,medium,small
cju0t4oil7vzk099370nun5h9,530,622,530,622,0.33988958320694046,1,1,0.6711644465770802,False,large,large
cju0tl3uz8blh0993wxvn7ly3,529,622,529,622,0.00527294719758812,1,1,0.7942599679769001,True,small,small
cju0u2g7pmnux0801vkk47ivj,530,611,530,611,0.29237871722817527,1,1,0.7947471134727275,False,large,large
cju0u82z3cuma0835wlxrnrjv,546,626,546,626,0.24693091785743543,1,1,0.6485500352002361,False,large,large
cju0ue769mxii08019zqgdbxn,547,626,547,626,0.04773933917797338,1,1,0.6738902469762924,False,medium,small
cju0vtox5ain6099360pu62rp,531,622,531,622,0.04454678123542912,1,1,0.7386227315798252,False,medium,small
cju13cgqmnhwn0988yrainhcp,546,626,546,626,0.12427880958232396,1,1,0.8555639470111954,False,large,medium
cju13fwthn9mq0835gacxgy01,529,623,529,623,0.1384634990760604,1,1,0.8000183423095777,False,large,medium
cju13hp5rnbjx0835bf0jowgx,531,622,531,622,0.10654228810531606,1,1,0.8153828643492445,True,large,medium
cju14g8o4xui30878gkgbrvqj,531,622,531,622,0.02580219327726004,1,1,0.8362859257896074,True,medium,small
cju14hjh2ob2o0835ouz3r5aa,546,609,546,609,0.1254744161148102,1,1,0.6824400409424897,False,large,medium
cju14pxbaoksp0835qzorx6g6,530,622,530,622,0.07176788206030456,1,1,0.8379018272882534,False,medium,small
cju15czxqp3lv0835jvhgzurz,547,620,547,620,0.27298755676121955,1,1,0.5794669328159262,False,large,large
cju15jr8jz8sb0855ukmkswkz,528,594,528,594,0.31392523722069177,1,2,0.7916528417749809,False,large,large
cju15l5ubz9yh0855b3ivdpse,547,626,547,626,0.03482544929940249,1,1,0.8209464434260805,True,medium,small
cju15mhjczc8z0801kit5c6di,546,624,546,624,0.1346858269935193,1,1,0.7900687078498262,True,large,medium
cju15ptjtppz40988odsm9azx,529,622,529,622,0.0594885697092737,1,1,0.6163010450752704,False,medium,small
cju15wdt3zla10801odjiw7sy,529,622,529,622,0.16356469465532855,1,1,0.8134425188897548,False,large,medium
cju160wshltz10993i1gmqxbe,530,607,530,607,0.02652077958409748,1,1,0.7891630034421995,True,medium,small
