dataset,name,height,width,area_frac,n_lesions,largest_frac
cvc-300,149,500,574,0.09628919860627178,1,0.09628919860627178
cvc-300,150,500,574,0.07178048780487804,1,0.07178048780487804
cvc-300,151,500,574,0.0508780487804878,1,0.0508780487804878
cvc-300,152,500,574,0.042348432055749126,1,0.042348432055749126
cvc-300,153,500,574,0.04618466898954704,1,0.04618466898954704
cvc-300,154,500,574,0.04138675958188153,1,0.04138675958188153
cvc-300,155,500,574,0.03480487804878049,1,0.03480487804878049
cvc-300,156,500,574,0.03059233449477352,1,0.03059233449477352
cvc-300,157,500,574,0.023226480836236935,1,0.023226480836236935
cvc-300,158,500,574,0.022634146341463414,1,0.022634146341463414
cvc-300,159,500,574,0.025076655052264807,1,0.025076655052264807
cvc-300,160,500,574,0.02132752613240418,1,0.02132752613240418
cvc-300,161,500,574,0.023773519163763066,1,0.023773519163763066
cvc-300,162,500,574,0.018627177700348434,1,0.018627177700348434
cvc-300,163,500,574,0.0282404181184669,1,0.0282404181184669
cvc-300,164,500,574,0.03362020905923345,1,0.03362020905923345
cvc-300,165,500,574,0.04162717770034843,1,0.04162717770034843
cvc-300,166,500,574,0.05264808362369338,1,0.05264808362369338
cvc-300,167,500,574,0.028965156794425087,1,0.028965156794425087
cvc-300,168,500,574,0.02535540069686411,1,0.02535540069686411
cvc-300,169,500,574,0.039574912891986065,1,0.039574912891986065
cvc-300,170,500,574,0.07511149825783972,1,0.07511149825783972
cvc-300,171,500,574,0.184198606271777,1,0.184198606271777
cvc-300,172,500,574,0.027613240418118468,1,0.027613240418118468
cvc-300,173,500,574,0.034198606271777,1,0.034198606271777
cvc-300,174,500,574,0.028317073170731708,1,0.028317073170731708
cvc-300,175,500,574,0.042233449477351914,1,0.042233449477351914
cvc-300,176,500,574,0.044362369337979095,1,0.044362369337979095
cvc-300,177,500,574,0.02694076655052265,1,0.02694076655052265
cvc-300,178,500,574,0.02594425087108014,1,0.02594425087108014
cvc-300,179,500,574,0.027853658536585366,1,0.027853658536585366
cvc-300,180,500,574,0.04770731707317073,1,0.04770731707317073
cvc-300,181,500,574,0.03487804878048781,1,0.03487804878048781
cvc-300,182,500,574,0.026815331010452963,1,0.026815331010452963
cvc-300,183,500,574,0.02029616724738676,1,0.02029616724738676
cvc-300,184,500,574,0.022536585365853658,1,0.022536585365853658
cvc-300,185,500,574,0.011142857142857144,1,0.011142857142857144
cvc-300,186,500,574,0.013585365853658537,1,0.013585365853658537
cvc-300,187,500,574,0.015170731707317073,1,0.015170731707317073
cvc-300,188,500,574,0.014344947735191637,1,0.014344947735191637
cvc-300,189,500,574,0.029445993031358884,1,0.029445993031358884
cvc-300,190,500,574,0.023177700348432057,1,0.023177700348432057
cvc-300,191,500,574,0.04010801393728223,1,0.04010801393728223
cvc-300,192,500,574,0.03450522648083624,1,0.03450522648083624
cvc-300,193,500,574,0.03838327526132404,1,0.03838327526132404
cvc-300,194,500,574,0.04166550522648084,1,0.04166550522648084
cvc-300,195,500,574,0.026407665505226482,1,0.026407665505226482
cvc-300,196,500,574,0.027557491289198606,1,0.027557491289198606
cvc-300,197,500,574,0.052909407665505226,1,0.052909407665505226
cvc-300,198,500,574,0.018334494773519165,1,0.018334494773519165
cvc-300,199,500,574,0.0272404181184669,1,0.0272404181184669
cvc-300,200,500,574,0.01627177700348432,1,0.01627177700348432
cvc-300,201,500,574,0.01270731707317073,1,0.01270731707317073
cvc-300,202,500,574,0.03479442508710801,1,0.03479442508710801
cvc-300,203,500,574,0.024616724738675957,1,0.024616724738675957
cvc-300,204,500,574,0.014533101045296168,1,0.014533101045296168
cvc-300,205,500,574,0.008250871080139372,1,0.008250871080139372
cvc-300,206,500,574,0.007644599303135888,1,0.007644599303135888
cvc-300,207,500,574,0.010501742160278745,1,0.010501742160278745
cvc-300,208,500,574,0.005466898954703833,1,0.005466898954703833
cvc-clinicdb,1,288,384,0.15351924189814814,1,0.15351924189814814
cvc-clinicdb,10,288,384,0.1651294849537037,1,0.1651294849537037
cvc-clinicdb,100,288,384,0.06523980034722222,1,0.06523980034722222
cvc-clinicdb,101,288,384,0.0707736545138889,1,0.0707736545138889
cvc-clinicdb,102,288,384,0.07091833043981481,1,0.07091833043981481
cvc-clinicdb,103,288,384,0.08559389467592593,1,0.08559389467592593
cvc-clinicdb,104,288,384,0.11992730034722222,1,0.11992730034722222
cvc-clinicdb,105,288,384,0.14701786747685186,1,0.14701786747685186
cvc-clinicdb,106,288,384,0.13054289641203703,1,0.13054289641203703
cvc-clinicdb,107,288,384,0.18806061921296297,1,0.18806061921296297
cvc-clinicdb,108,288,384,0.17893699363425927,1,0.17893699363425927
cvc-clinicdb,109,288,384,0.16445131655092593,1,0.16445131655092593
cvc-clinicdb,11,288,384,0.15938765914351852,1,0.15938765914351852
cvc-clinicdb,110,288,384,0.22941080729166666,1,0.22941080729166666
cvc-clinicdb,111,288,384,0.23173466435185186,1,0.23173466435185186
cvc-clinicdb,112,288,384,0.23278356481481483,1,0.23278356481481483
cvc-clinicdb,113,288,384,0.23445638020833334,1,0.23445638020833334
cvc-clinicdb,114,288,384,0.2442039207175926,1,0.2442039207175926
cvc-clinicdb,115,288,384,0.13437680844907407,1,0.13437680844907407
cvc-clinicdb,116,288,384,0.14197229456018517,1,0.14197229456018517
cvc-clinicdb,117,288,384,0.1232638888888889,1,0.1232638888888889
cvc-clinicdb,118,288,384,0.14051649305555555,1,0.14050745081018517
cvc-clinicdb,119,288,384,0.11622902199074074,1,0.11622902199074074
cvc-clinicdb,12,288,384,0.23103841145833334,1,0.23103841145833334
cvc-clinicdb,120,288,384,0.15295862268518517,1,0.15295862268518517
cvc-clinicdb,121,288,384,0.15455910011574073,1,0.15455910011574073
cvc-clinicdb,122,288,384,0.15244321469907407,1,0.15244321469907407
cvc-clinicdb,123,288,384,0.13895218460648148,1,0.13895218460648148
cvc-clinicdb,124,288,384,0.15275969328703703,1,0.15275969328703703
cvc-clinicdb,125,288,384,0.0939037181712963,1,0.0939037181712963
cvc-clinicdb,126,288,384,0.0953052662037037,1,0.0953052662037037
cvc-clinicdb,127,288,384,0.046314380787037035,1,0.046314380787037035
cvc-clinicdb,128,288,384,0.055826822916666664,1,0.055826822916666664
cvc-clinicdb,129,288,384,0.07152416087962964,1,0.07152416087962964
cvc-clinicdb,13,288,384,0.12654622395833334,1,0.12654622395833334
cvc-clinicdb,130,288,384,0.0928005642361111,1,0.0928005642361111
cvc-clinicdb,131,288,384,0.09563078703703703,1,0.09563078703703703
cvc-clinicdb,132,288,384,0.04847547743055555,1,0.04847547743055555
cvc-clinicdb,133,288,384,0.0695529513888889,1,0.0695529513888889
cvc-clinicdb,134,288,384,0.06439887152777778,1,0.06439887152777778
cvc-clinicdb,135,288,384,0.1431568287037037,1,0.1431568287037037
cvc-clinicdb,136,288,384,0.12125651041666667,1,0.12125651041666667
cvc-clinicdb,137,288,384,0.10552300347222222,1,0.10552300347222222
cvc-clinicdb,138,288,384,0.16242585358796297,1,0.16242585358796297
cvc-clinicdb,139,288,384,0.1842628761574074,1,0.1842628761574074
cvc-clinicdb,14,288,384,0.2097710503472222,1,0.20976200810185186
cvc-clinicdb,140,288,384,0.20615415219907407,1,0.20615415219907407
cvc-clinicdb,141,288,384,0.26387984664351855,1,0.26387984664351855
cvc-clinicdb,142,288,384,0.2221046730324074,1,0.2221046730324074
cvc-clinicdb,143,288,384,0.041196469907407406,1,0.041196469907407406
cvc-clinicdb,144,288,384,0.1491970486111111,1,0.1491970486111111
cvc-clinicdb,145,288,384,0.20382125289351852,1,0.20382125289351852
cvc-clinicdb,146,288,384,0.20292607060185186,1,0.20292607060185186
cvc-clinicdb,147,288,384,0.12215169270833333,1,0.12215169270833333
cvc-clinicdb,148,288,384,0.08963577835648148,1,0.08963577835648148
cvc-clinicdb,149,288,384,0.08311631944444445,1,0.08311631944444445
cvc-clinicdb,15,288,384,0.32753725405092593,1,0.32753725405092593
cvc-clinicdb,150,288,384,0.0768138744212963,1,0.0768138744212963
cvc-clinicdb,151,288,384,0.06201171875,1,0.06201171875
cvc-clinicdb,152,288,384,0.18713831018518517,1,0.18713831018518517
cvc-clinicdb,153,288,384,0.05712890625,1,0.05712890625
cvc-clinicdb,154,288,384,0.005425347222222222,1,0.005425347222222222
cvc-clinicdb,155,288,384,0.015190972222222222,1,0.015190972222222222
cvc-clinicdb,156,288,384,0.04243525752314815,1,0.04243525752314815
cvc-clinicdb,157,288,384,0.06783492476851852,1,0.06783492476851852
cvc-clinicdb,158,288,384,0.04062680844907408,1,0.04062680844907408
cvc-clinicdb,159,288,384,0.01634837962962963,1,0.01634837962962963
cvc-clinicdb,16,288,384,0.07137044270833333,1,0.07137044270833333
cvc-clinicdb,160,288,384,0.07429108796296297,1,0.07429108796296297
cvc-clinicdb,161,288,384,0.028600622106481483,1,0.028600622106481483
cvc-clinicdb,162,288,384,0.04616066261574074,1,0.04616066261574074
cvc-clinicdb,163,288,384,0.04667607060185185,1,0.04667607060185185
cvc-clinicdb,164,288,384,0.028600622106481483,1,0.028600622106481483
cvc-clinicdb,165,288,384,0.0664333767361111,1,0.0664333767361111
cvc-clinicdb,166,288,384,0.06629774305555555,1,0.06629774305555555
cvc-clinicdb,167,288,384,0.031674985532407406,1,0.031674985532407406
cvc-clinicdb,168,288,384,0.04480432581018518,1,0.04479528356481482
cvc-clinicdb,169,288,384,0.05980541087962963,1,0.05980541087962963
cvc-clinicdb,17,288,384,0.13510923032407407,1,0.13510923032407407
cvc-clinicdb,170,288,384,0.04220015914351852,1,0.04220015914351852
cvc-clinicdb,171,288,384,0.047046802662037035,1,0.047046802662037035
cvc-clinicdb,172,288,384,0.02814850983796296,1,0.02814850983796296
cvc-clinicdb,173,288,384,0.0984790943287037,1,0.0984790943287037
cvc-clinicdb,174,288,384,0.10460973668981481,1,0.10460973668981481
cvc-clinicdb,175,288,384,0.13731553819444445,1,0.13731553819444445
cvc-clinicdb,176,288,384,0.11555085358796297,1,0.11555085358796297
cvc-clinicdb,177,288,384,0.0741916232638889,1,0.0741916232638889
cvc-clinicdb,178,288,384,0.003833912037037037,1,0.003833912037037037
cvc-clinicdb,179,288,384,0.02710865162037037,1,0.02710865162037037
cvc-clinicdb,18,288,384,0.10540545428240741,1,0.10540545428240741
cvc-clinicdb,180,288,384,0.030671296296296297,1,0.030671296296296297
cvc-clinicdb,181,288,384,0.02906177662037037,1,0.02906177662037037
cvc-clinicdb,182,288,384,0.03172923900462963,1,0.03172923900462963
cvc-clinicdb,183,288,384,0.029541015625,1,0.029541015625
cvc-clinicdb,184,288,384,0.02858253761574074,1,0.02857349537037037
cvc-clinicdb,185,288,384,0.044243706597222224,1,0.044243706597222224
cvc-clinicdb,186,288,384,0.07364908854166667,1,0.07364908854166667
cvc-clinicdb,187,288,384,0.11866138599537036,1,0.11866138599537036
cvc-clinicdb,188,288,384,0.11962890625,1,0.11962890625
cvc-clinicdb,189,288,384,0.04659469039351852,1,0.04659469039351852
cvc-clinicdb,19,288,384,0.16359230324074073,1,0.16359230324074073
cvc-clinicdb,190,288,384,0.03058087384259259,1,0.03058087384259259
cvc-clinicdb,191,288,384,0.011456524884259259,1,0.011456524884259259
cvc-clinicdb,192,288,384,0.013029875578703705,1,0.013029875578703705
cvc-clinicdb,193,288,384,0.02141203703703704,1,0.02141203703703704
